matchId,gameDuration(s),gameMode,summonerId,puuid,teamId,championId,championName,kills,deaths,assists,wardsPlaced,win,teamPosition,ChampionLevel
NA1_4472173452,1542,CLASSIC,a_aTxEt3bw5wXm_ev9BzNvd5XzVYbCbjH27CUqit8mNp5_o,4jOZWQAkMs_ZSFNbjnk_pL4QcXQuvfWMvZ_mB6sq-ZPKr1hKX81OPio-Id7Vx1Yx1WLpCC2PqozEmA,200,895,Nilah,1,6,3,2,FALSE,BOTTOM,1
NA1_4472173452,1542,CLASSIC,zPWD-KJOXOg93aZ63rcseB5NTR-5HJClwcwhW37fMlqyNdC6,ECUc1tgVDut0-jSz4x2E3gyh5iQhX7fbUsEz4ivuUbep7ICzQl4v8QrG8SrcLQgdrs7yOesSUiOIqQ,200,29,Twitch,5,7,4,15,FALSE,UTILITY,5
NA1_4472008088,1845,CLASSIC,1Wb0GodUkHEnIVmubFA1qX8ht2pCcvM_33HbtTRE2KkhuJ0,JSWvI0jmRfPaktG44a7vVWG5Roxw7tvua_IjJInT-PNsNxOSMU8kc6KiWUKQhdvysWoYDdAzGiXfVg,100,98,Shen,3,2,17,13,TRUE,TOP,5
NA1_4472008088,1845,CLASSIC,NagmpnwtNpXTzpeKwO8JcjFtX1M0ANZ9WbSHPTwCnAmzhj9A7Iw21zyaWg,QOnVrPQ6r7-zD9nmkS-F2Lfuuj3JgP41iDyNKnFiZFtBn35ovyiEopeNkjqSHGHrvFWm56rDiYQSkA,100,56,Nocturne,10,4,13,9,TRUE,JUNGLE,7
NA1_4472008088,1845,CLASSIC,FayxM1n7gJ1eYCrlrD6489FsEsSJCLvLYhVr5B_Ap6OMJqgM,pIMcn4rV6WKOD5irS1PdaH9TbsaQv4nXXp19QK7Fa9pQSERIEu1t56m_2JNzdrdq6WLUtzP1-PYVHw,100,134,Syndra,6,7,7,8,TRUE,MIDDLE,7
NA1_4472008088,1845,CLASSIC,a_aTxEt3bw5wXm_ev9BzNvd5XzVYbCbjH27CUqit8mNp5_o,4jOZWQAkMs_ZSFNbjnk_pL4QcXQuvfWMvZ_mB6sq-ZPKr1hKX81OPio-Id7Vx1Yx1WLpCC2PqozEmA,100,202,Jhin,7,2,15,12,TRUE,BOTTOM,5
NA1_4472008088,1845,CLASSIC,G8zkffsKGwI5PjjQgVK7VN0vkHBX-72Cli51TFOqUpESKIs,5jOX8TWX671LLrD3XisMrgdVDLhn15QYHEuljzay84pHRc1i8q01rote2enEkPkccswfm6zqvTsqYA,100,235,Senna,7,4,17,14,TRUE,UTILITY,6
NA1_4472008088,1845,CLASSIC,tiDuFHtGzkI3uLSGB-N64lChOmD71At95sTkR2e3u5Joxjk,DlfwPzHCqi2VrXOmXI6osObFooa9Opw2MeyW6Gk4ro8Wfs3EIwek5BziHCiFKUgtwVTjvfkbodOyyw,200,875,Sett,0,6,3,5,FALSE,TOP,3
NA1_4472008088,1845,CLASSIC,AnZL6S0L-Wk_g8MXl1FeZnLP6IPPE24O0_kPGALjwAcg4HY,aInntniEqythr6duzcd9YUupTcMvERMEaiq3XN27DsWvEi7tTUuhlQ3p-dQ80UHAgHZ-ZKenfz6e1Q,200,154,Zac,4,8,5,8,FALSE,JUNGLE,7
NA1_4472008088,1845,CLASSIC,UqgXFDqgu-OiEKMWyFAb32qgygTdUAf-nFlTbPKZFtXpI6pb,AFI-DBXeM4wxrL5oFZk6e_jR1eeXqP0OdtMdmcqdb4iv-uA31Q60XTUmHYf3EcKxMArTFRYh5pWw4g,200,246,Qiyana,5,6,2,4,FALSE,MIDDLE,7
NA1_4472008088,1845,CLASSIC,itskE6p7aavVVJtZkTWvoPiRJskc9z6cpa_r-iSEGCOdOIwO,CMk-vedZC810aBdPU9tJVuWB2dF7FaVLwRzsMox9WJpn2Wq261KamVM_GpOVATW3I3ywpoNMK7N_KQ,200,145,Kaisa,7,8,4,8,FALSE,BOTTOM,5
NA1_4472008088,1845,CLASSIC,xyTa0QDj3juePQgvnjM6IYyWy2AFAgvCu0WdFsvzserLuJs,GLS1o6-nsHuWNFS3N54NQ3O5hmfvJazt7Ji6gA8qITGbBGURvmA3U8rQDfHzhCDzjIQ55T5HCOwP6w,200,412,Thresh,3,5,9,33,FALSE,UTILITY,7
