matchId,puuid,summonerId,teamId
NA1_4474685238,qlBg1ErtH8GeLV7SDZFxqtHpzqPTnMpTS7UHWXYlIlbQOvxIWIEJm_CHCX_OFX4CQETOxZ0FtDostw,t--a98F4XJUGDyyTf2BjlvUjYKmkYREdqPhtEM-LC_V5Ol0,100
NA1_4474685238,HfK5JFDJVXL_vpGvKhnHbkwq3nKqOCaCh07g9GjDyDHJqpZJeoxcnVbkbE8-Jx2RcKbRXq3Id1thrg,nsNBvcdsELbNPP_IgkeDpsGjOmNVmVHGFddJbTaav0P8MHY,100
NA1_4474685238,fdOMjMekaWro_ynx_eXVY9PMyTzwhwB4IbHgg7XmUXq13lVrd0-3YLoTiF2casbGBlCHc54LDhcQ3A,vQrHKJU9ZScZMdwSpYP_SCbtzcO48bUklrzw9FGQedhleKVS,100
NA1_4474685238,7LVQhN3sCXfo9Oq8T2j-ZHP3Xdh8zfQr_jnRkpv05vnDPEky4qo-pTjI8nkhjjTKbyQnMGIVwI06-g,wt26I9Ant8LSx73Y587wCNNmqOIXeQ_Dn5Rdzf-o2VhRQfWM8ZvTvppWog,100
NA1_4474685238,0VDmZ2j3GXOyd9qfKiUuULpsc-NG9yHSHu6cyS17RZuqrPSTSVUm4Vdr4YLDaM5P_DVRXT1YylHJ2g,LLYqS6mgzqVkutM20FMCeFqcfrk0McnoloOM_Jd-hKHWTEw,100
NA1_4474685238,3C97Bt2Ql_cGZzRsXB-nUXv51fJ2SEcYBAlO5_k9ac5OhBVLCMh9nsTqIKf8IgVJ2ouYMx7KOVVCwg,f2smsegYxmT2N3vEYkjoDo7tSxaOyBUU6rH4LQom2rWNebq0,200
NA1_4474685238,sOXKBxqK1R6-UWXAqWc4pN6hzdIJwDY4g7OkZl-qoIAu771jLXGCivZ9Ctk-wnyfM8Copo0iJu2DyA,ZjSpQhd15BQdaHC83WoXKbeUPnyzuoPP8YXALl5WVAdUHZM8PMUT8WenVA,200
NA1_4474685238,z4k6AOw8ZbSGjKICTfZfO0rHieVKpTVsNbf9U3AJMzVXD3-P9YhWuAn_EYzrw1ekHfpDht0p53SCdA,nyAM9E6xcaez6pkWS6fiVZMXuzfIAADVg25W5HbuC0p7md3SmHxu-yTPFw,200
NA1_4474685238,Zt437PnpZGDJuH1I-jQd1o0SAzvnwEw5TEHKTW69enldLwIWkonISLULj5dK5IaPqJ_r-nNrVG3dSQ,6eSI6cbydP_zkEjaS2ndn2yI-E68-5qKjikozYHI3Ytcm1Rp7BAQ4amSVA,200
NA1_4474685238,zlqvhltBPpDu7U7PAx8vF-EwenfDI2AZJVoH3WKZ4TKa62G4xunkSnmV0EJ3CTwtMYgickCvs_egtg,HDOFdqLemgl6vkrQ__TQXgr5Bj6GOiPN55QZmC3rb1H-kcQ,200
NA1_4474682981,5ADS1vC0fY1sK5Po9J_bmz8NYe2ebHTi-m-O2PZ3eqIsbWJMUvaM1ukDe6PVMsHpWi9mSmBDGVAh0w,nCOY1Vduug4CdvURUXi1PxG1tfEiu6to_GQOYAAAXkLOpRI,100
NA1_4474682981,9SFrEHhOEKtFHMJVDZuUqujOAnXe46Bx860cqVVccT9Y2YiqYunAUJxT1mOYYRVOoK2n2Ei_Kqus-Q,dTzo-R9JcmIjj4noZBVXh2D4IyArYYT4bgniDRMLsmrd9oozOs-XVdBMsg,100
NA1_4474682981,jMGLzfv4FDPVIFPZxADY8Klg9WiBmVqojt0UpvTcXrdVOHN0DW0LFZa4YT997OypPrXdise6PDRO9A,Gf5Vzf_2btu6GffsYchQouDsbvbrlirkW5ngjCefVvCN-oM,100
NA1_4474682981,7Li4dhigrJP5ZM872sS1rG5_88LJ3LxP2NaYS3B6yP6HWnp85kYxN3GHy5X3fWl0gpEk-oI28uZ4Ew,o-ulY08Zl21k0DRzctJ0nUBvt9J-MIarIoEtMdbfzPc3ucI,100
NA1_4474682981,JoInHDan3nXAkIc6vPmWjdpwGendkmxPbiA8wJiH0cVDMs3WyDGI_RSQ6udsPBCKpyAcjc0fIe3FgA,Hn1DwrOW2wZEPie3-Nah6QjtOVkEXbOO-wdgzkCGFB1fp90,100
NA1_4474682981,gUzii16jaIJ14MCGcUPwOILCcwxsA6_MBUWaDsgnkq6pq_wrs4ujXVINCwgQc_06bHhR5qtdi4Jg6g,pXCtvMpR4DD2bVYm-Jm-MoFYYl4T1pYF_mnRuF4tjmWnQ0Qi,200
NA1_4474682981,07cvMHMDhK8GUb-N6sbN38fDzQzqI-VnF5sCHTFzIbKE13VdykiLC23WVw_Tr1S9Lr8hL950Dlfvfw,Y-JO0tCD9rRSwxS7dC2o9JtUHZqI_D5ehA5rkcMefQ71XSQ,200
NA1_4474682981,LDbhAb4sK9v1AzbsnRKpWPt3QvmKU7Uf9lCj9qZMpoKdRYrhO64mSVcwHEDwqS4loGkSb6CPPsGhwg,1pSpzRhLfVsysLSG79EFo8VYwWps9tf5KurBNW5q79vtL2s,200
NA1_4474682981,0E0_BQx9u5ex94tugsgO7NYMg1tZIdxu7aL6mjhZPijM-6WuMVyhbDGL9XM3o8B-xfUPxroTWwmXxA,6VXGwafeAksw-XpqADpJnWN4BR_VET01ViYnvRY4AvA9tG7a,200
